"ictKey","Translated ictMarketTemplateName","Translated ictSelectionTemplateName"
"","",""
"darts|two-participant-event|correct-score|A18-6","Tačan rezultat","6:18"
"darts|two-participant-event|correct-score|A7-0","Tačan rezultat","0:7"
"darts|two-participant-event|correct-score|H7-0","Tačan rezultat","7:0"
"darts|two-participant-event|correct-score|A7-1","Tačan rezultat","1:7"
"darts|two-participant-event|correct-score|H7-1","Tačan rezultat","7:1"
"darts|two-participant-event|correct-score|A7-2","Tačan rezultat","2:7"
"darts|two-participant-event|correct-score|H7-2","Tačan rezultat","7:2"
"darts|two-participant-event|correct-score|A7-3","Tačan rezultat","3:7"
"darts|two-participant-event|correct-score|H7-3","Tačan rezultat","7:3"
"darts|two-participant-event|correct-score|A7-4","Tačan rezultat","4:7"
"darts|two-participant-event|correct-score|H7-4","Tačan rezultat","7:4"
"darts|two-participant-event|correct-score|A7-5","Tačan rezultat","5:7"
"darts|two-participant-event|correct-score|H7-5","Tačan rezultat","7:5"
"darts|two-participant-event|correct-score|A7-6","Tačan rezultat","6:7"
"darts|two-participant-event|correct-score|H7-6","Tačan rezultat","7:6"
"darts|two-participant-event|correct-score|H8-7","Tačan rezultat","8:7"
"darts|two-participant-event|correct-score|A8-7","Tačan rezultat","7:8"
"darts|two-participant-event|correct-score|H9-7","Tačan rezultat","9:7"
"darts|two-participant-event|correct-score|A9-7","Tačan rezultat","7:9"
"darts|two-participant-event|correct-score|H10-7","Tačan rezultat","10:7"
"darts|two-participant-event|correct-score|A10-7","Tačan rezultat","7:10"
"darts|two-participant-event|correct-score|H11-7","Tačan rezultat","11:7"
"darts|two-participant-event|correct-score|A11-7","Tačan rezultat","7:11"
"darts|two-participant-event|correct-score|H12-7","Tačan rezultat","12:7"
"darts|two-participant-event|correct-score|A12-7","Tačan rezultat","7:12"
"darts|two-participant-event|correct-score|H13-7","Tačan rezultat","13:7"
"darts|two-participant-event|correct-score|A13-7","Tačan rezultat","7:13"
"darts|two-participant-event|correct-score|H14-7","Tačan rezultat","14:7"
"darts|two-participant-event|correct-score|A14-7","Tačan rezultat","7:14"
"darts|two-participant-event|correct-score|H15-7","Tačan rezultat","15:7"
"darts|two-participant-event|correct-score|A15-7","Tačan rezultat","7:15"
"darts|two-participant-event|correct-score|H16-7","Tačan rezultat","16:7"
"darts|two-participant-event|correct-score|A16-7","Tačan rezultat","7:16"
"darts|two-participant-event|correct-score|H17-7","Tačan rezultat","17:7"
"darts|two-participant-event|correct-score|A17-7","Tačan rezultat","7:17"
"darts|two-participant-event|correct-score|H18-7","Tačan rezultat","18:7"
"darts|two-participant-event|correct-score|A18-7","Tačan rezultat","7:18"
"darts|two-participant-event|correct-score|A8-0","Tačan rezultat","0:8"
"darts|two-participant-event|correct-score|H8-0","Tačan rezultat","8:0"
"darts|two-participant-event|correct-score|A8-1","Tačan rezultat","1:8"
"darts|two-participant-event|correct-score|H8-1","Tačan rezultat","8:1"
"darts|two-participant-event|correct-score|A8-2","Tačan rezultat","2:8"
"darts|two-participant-event|correct-score|H8-2","Tačan rezultat","8:2"
"darts|two-participant-event|correct-score|A8-3","Tačan rezultat","3:8"
"darts|two-participant-event|correct-score|H8-3","Tačan rezultat","8:3"
"darts|two-participant-event|correct-score|A8-4","Tačan rezultat","4:8"
"darts|two-participant-event|correct-score|H8-4","Tačan rezultat","8:4"
"darts|two-participant-event|correct-score|A8-5","Tačan rezultat","5:8"
"darts|two-participant-event|correct-score|H8-5","Tačan rezultat","8:5"
"darts|two-participant-event|correct-score|A8-6","Tačan rezultat","6:8"
"darts|two-participant-event|correct-score|H8-6","Tačan rezultat","8:6"
"darts|two-participant-event|correct-score|A8-7","Tačan rezultat","7:8"
"darts|two-participant-event|correct-score|H8-7","Tačan rezultat","8:7"
"darts|two-participant-event|correct-score|H9-8","Tačan rezultat","9:8"
"darts|two-participant-event|correct-score|A9-8","Tačan rezultat","8:9"
"darts|two-participant-event|correct-score|H10-8","Tačan rezultat","10:8"
"darts|two-participant-event|correct-score|A10-8","Tačan rezultat","8:10"
"darts|two-participant-event|correct-score|H11-8","Tačan rezultat","11:8"
"darts|two-participant-event|correct-score|A11-8","Tačan rezultat","8:11"
"darts|two-participant-event|correct-score|H12-8","Tačan rezultat","12:8"
"darts|two-participant-event|correct-score|A12-8","Tačan rezultat","8:12"
"darts|two-participant-event|correct-score|H13-8","Tačan rezultat","13:8"
"darts|two-participant-event|correct-score|A13-8","Tačan rezultat","8:13"
"darts|two-participant-event|correct-score|H14-8","Tačan rezultat","14:8"
"darts|two-participant-event|correct-score|A14-8","Tačan rezultat","8:14"
"darts|two-participant-event|correct-score|H15-8","Tačan rezultat","15:8"
"darts|two-participant-event|correct-score|A15-8","Tačan rezultat","8:15"
"darts|two-participant-event|correct-score|H16-8","Tačan rezultat","16:8"
"darts|two-participant-event|correct-score|A16-8","Tačan rezultat","8:16"
"darts|two-participant-event|correct-score|H17-8","Tačan rezultat","17:8"
"darts|two-participant-event|correct-score|A17-8","Tačan rezultat","8:17"
"darts|two-participant-event|correct-score|H18-8","Tačan rezultat","18:"
"darts|two-participant-event|correct-score|A18-8","Tačan rezultat","8:18"
"darts|two-participant-event|correct-score|A9-0","Tačan rezultat","0:9"
"darts|two-participant-event|correct-score|H9-0","Tačan rezultat","9:0"
"darts|two-participant-event|correct-score|A9-1","Tačan rezultat","1:9"
"darts|two-participant-event|correct-score|H9-1","Tačan rezultat","9:1"
"darts|two-participant-event|correct-score|A9-2","Tačan rezultat","2:9"
"darts|two-participant-event|correct-score|H9-2","Tačan rezultat","9:2"
"darts|two-participant-event|correct-score|A9-3","Tačan rezultat","3:9"
"darts|two-participant-event|correct-score|H9-3","Tačan rezultat","9:3"
"darts|two-participant-event|correct-score|A9-4","Tačan rezultat","4:9"
"darts|two-participant-event|correct-score|H9-4","Tačan rezultat","9:4"
"darts|two-participant-event|correct-score|A9-5","Tačan rezultat","5:9"
"darts|two-participant-event|correct-score|H9-5","Tačan rezultat","9:5"
"darts|two-participant-event|correct-score|A9-6","Tačan rezultat","6:9"
"darts|two-participant-event|correct-score|H9-6","Tačan rezultat","9:6"
"darts|two-participant-event|correct-score|A9-7","Tačan rezultat","7:9"
"darts|two-participant-event|correct-score|H9-7","Tačan rezultat","9:7"
"darts|two-participant-event|correct-score|A9-8","Tačan rezultat","8:9"
"darts|two-participant-event|correct-score|H9-8","Tačan rezultat","9:8"
"darts|two-participant-event|correct-score|H10-9","Tačan rezultat","10:9"
"darts|two-participant-event|correct-score|A10-9","Tačan rezultat","9:10"
"darts|two-participant-event|correct-score|H11-9","Tačan rezultat","11:9"
"darts|two-participant-event|correct-score|A11-9","Tačan rezultat","9:11"
"darts|two-participant-event|correct-score|H12-9","Tačan rezultat","12:9"
"darts|two-participant-event|correct-score|A12-9","Tačan rezultat","9:12"
"darts|two-participant-event|correct-score|H13-9","Tačan rezultat","13:9"
"darts|two-participant-event|correct-score|A13-9","Tačan rezultat","9:13"
"darts|two-participant-event|correct-score|H14-9","Tačan rezultat","14:9"
"darts|two-participant-event|correct-score|A14-9","Tačan rezultat","9:14"
"darts|two-participant-event|correct-score|H15-9","Tačan rezultat","15:9"
"darts|two-participant-event|correct-score|A15-9","Tačan rezultat","9:15"
"darts|two-participant-event|correct-score|H16-9","Tačan rezultat","16:9"
"darts|two-participant-event|correct-score|A16-9","Tačan rezultat","9:16"
"darts|two-participant-event|correct-score|H17-9","Tačan rezultat","17:9"
"darts|two-participant-event|correct-score|A17-9","Tačan rezultat","9:17"
"darts|two-participant-event|correct-score|H18-9","Tačan rezultat","18:9"
"darts|two-participant-event|correct-score|A18-9","Tačan rezultat","9:18"
"darts|two-participant-event|correct-score|A10-0","Tačan rezultat","0:10"
"darts|two-participant-event|correct-score|H10-0","Tačan rezultat","10:0"
"darts|two-participant-event|correct-score|A10-1","Tačan rezultat","1:10"
"darts|two-participant-event|correct-score|H10-1","Tačan rezultat","10:1"
"darts|two-participant-event|correct-score|A10-2","Tačan rezultat","2:10"
"darts|two-participant-event|correct-score|H10-2","Tačan rezultat","10:2"
"darts|two-participant-event|correct-score|A10-3","Tačan rezultat","3:10"
"darts|two-participant-event|correct-score|H10-3","Tačan rezultat","10:3"
"darts|two-participant-event|correct-score|A10-4","Tačan rezultat","4:10"
"darts|two-participant-event|correct-score|H10-4","Tačan rezultat","10:4"
"darts|two-participant-event|correct-score|A10-5","Tačan rezultat","5:10"
"darts|two-participant-event|correct-score|H10-5","Tačan rezultat","10:5"
"darts|two-participant-event|correct-score|A10-6","Tačan rezultat","6:10"
"darts|two-participant-event|correct-score|H10-6","Tačan rezultat","10:6"
"darts|two-participant-event|correct-score|A10-7","Tačan rezultat","7:10"
"darts|two-participant-event|correct-score|H10-7","Tačan rezultat","10:7"
"darts|two-participant-event|correct-score|A10-8","Tačan rezultat","8:10"
"darts|two-participant-event|correct-score|H10-8","Tačan rezultat","10:8"
"darts|two-participant-event|correct-score|A10-9","Tačan rezultat","9:10"
"darts|two-participant-event|correct-score|H10-9","Tačan rezultat","10:9"
"darts|two-participant-event|correct-score|H11-10","Tačan rezultat","11:10"
"darts|two-participant-event|correct-score|A11-10","Tačan rezultat","10:11"
"darts|two-participant-event|correct-score|H12-10","Tačan rezultat","12:10"
"darts|two-participant-event|correct-score|A12-10","Tačan rezultat","10:12"
"darts|two-participant-event|correct-score|H13-10","Tačan rezultat","13:10"
"darts|two-participant-event|correct-score|A13-10","Tačan rezultat","10:13"
"darts|two-participant-event|correct-score|H14-10","Tačan rezultat","14:10"
"darts|two-participant-event|correct-score|A14-10","Tačan rezultat","10:14"
"darts|two-participant-event|correct-score|H15-10","Tačan rezultat","15:10"
"darts|two-participant-event|correct-score|A15-10","Tačan rezultat","10:15"
"darts|two-participant-event|correct-score|H16-10","Tačan rezultat","16:10"
"darts|two-participant-event|correct-score|A16-10","Tačan rezultat","10:16"
"darts|two-participant-event|correct-score|H17-10","Tačan rezultat","17:10"
"darts|two-participant-event|correct-score|A17-10","Tačan rezultat","10:17"
"darts|two-participant-event|correct-score|H18-10","Tačan rezultat","18:10"
"darts|two-participant-event|correct-score|A18-10","Tačan rezultat","10:18"
"darts|two-participant-event|correct-score|A11-0","Tačan rezultat","0:11"
"darts|two-participant-event|correct-score|H11-0","Tačan rezultat","11:0"
"darts|two-participant-event|correct-score|A11-1","Tačan rezultat","1:11"
"darts|two-participant-event|correct-score|H11-1","Tačan rezultat","11:1"
"darts|two-participant-event|correct-score|A11-2","Tačan rezultat","2:11"
"darts|two-participant-event|correct-score|H11-2","Tačan rezultat","11:2"
"darts|two-participant-event|correct-score|A11-3","Tačan rezultat","3:11"
"darts|two-participant-event|correct-score|H11-3","Tačan rezultat","11:3"
"darts|two-participant-event|correct-score|A11-4","Tačan rezultat","4:11"
"darts|two-participant-event|correct-score|H11-4","Tačan rezultat","11:4"
"darts|two-participant-event|correct-score|A11-5","Tačan rezultat","5:11"
"darts|two-participant-event|correct-score|H11-5","Tačan rezultat","11:5"
"darts|two-participant-event|correct-score|A11-6","Tačan rezultat","6:11"
"darts|two-participant-event|correct-score|H11-6","Tačan rezultat","11:6"
"darts|two-participant-event|correct-score|A11-7","Tačan rezultat","7:11"
"darts|two-participant-event|correct-score|H11-7","Tačan rezultat","11:7"
"darts|two-participant-event|correct-score|A11-8","Tačan rezultat","8:11"
"darts|two-participant-event|correct-score|H11-8","Tačan rezultat","11:8"
"darts|two-participant-event|correct-score|A11-9","Tačan rezultat","9:11"
"darts|two-participant-event|correct-score|H11-9","Tačan rezultat","11:9"
"darts|two-participant-event|correct-score|A11-10","Tačan rezultat","10:11"
"darts|two-participant-event|correct-score|H11-10","Tačan rezultat","11:10"
"darts|two-participant-event|correct-score|H12-11","Tačan rezultat","12:11"
"darts|two-participant-event|correct-score|A12-11","Tačan rezultat","11:12"
"darts|two-participant-event|correct-score|H13-11","Tačan rezultat","13:11"
"darts|two-participant-event|correct-score|A13-11","Tačan rezultat","11:13"
"darts|two-participant-event|correct-score|H14-11","Tačan rezultat","14:11"
"darts|two-participant-event|correct-score|A14-11","Tačan rezultat","11:14"
"darts|two-participant-event|correct-score|H15-11","Tačan rezultat","15:11"
"darts|two-participant-event|correct-score|A15-11","Tačan rezultat","11:15"
"darts|two-participant-event|correct-score|H16-11","Tačan rezultat","16:11"
"darts|two-participant-event|correct-score|A16-11","Tačan rezultat","11:16"
"darts|two-participant-event|correct-score|H17-11","Tačan rezultat","17:11"
"darts|two-participant-event|correct-score|A17-11","Tačan rezultat","11:17"
"darts|two-participant-event|correct-score|H18-11","Tačan rezultat","18:11"
"darts|two-participant-event|correct-score|A18-11","Tačan rezultat","11:18"
"darts|two-participant-event|correct-score|A12-0","Tačan rezultat","0:12"
"darts|two-participant-event|correct-score|H12-0","Tačan rezultat","12:0"
"darts|two-participant-event|correct-score|A12-1","Tačan rezultat","1:12"
"darts|two-participant-event|correct-score|H12-1","Tačan rezultat","12:1"
"darts|two-participant-event|correct-score|A12-2","Tačan rezultat","2:12"
"darts|two-participant-event|correct-score|H12-2","Tačan rezultat","12:2"
"darts|two-participant-event|correct-score|A12-3","Tačan rezultat","3:12"
"darts|two-participant-event|correct-score|H12-3","Tačan rezultat","12:3"
"darts|two-participant-event|correct-score|A12-4","Tačan rezultat","4:12"
"darts|two-participant-event|correct-score|H12-4","Tačan rezultat","12:4"
"darts|two-participant-event|correct-score|A12-5","Tačan rezultat","5:12"
"darts|two-participant-event|correct-score|H12-5","Tačan rezultat","12:5"
"darts|two-participant-event|correct-score|A12-6","Tačan rezultat","6:12"
"darts|two-participant-event|correct-score|H12-6","Tačan rezultat","12:6"
"darts|two-participant-event|correct-score|A12-7","Tačan rezultat","7:12"
"darts|two-participant-event|correct-score|H12-7","Tačan rezultat","12:7"
"darts|two-participant-event|correct-score|A12-8","Tačan rezultat","8:12"
"darts|two-participant-event|correct-score|H12-8","Tačan rezultat","12:8"
"darts|two-participant-event|correct-score|A12-9","Tačan rezultat","9:12"
"darts|two-participant-event|correct-score|H12-9","Tačan rezultat","12:9"
"darts|two-participant-event|correct-score|A12-10","Tačan rezultat","10:12"
"darts|two-participant-event|correct-score|H12-10","Tačan rezultat","12:10"
"darts|two-participant-event|correct-score|A12-11","Tačan rezultat","11:12"
"darts|two-participant-event|correct-score|H12-11","Tačan rezultat","12:11"
"darts|two-participant-event|correct-score|H13-12","Tačan rezultat","13:12"
"darts|two-participant-event|correct-score|A13-12","Tačan rezultat","12:13"
"darts|two-participant-event|correct-score|H14-12","Tačan rezultat","14:12"
"darts|two-participant-event|correct-score|A14-12","Tačan rezultat","12:14"
"darts|two-participant-event|correct-score|H15-12","Tačan rezultat","15:12"
"darts|two-participant-event|correct-score|A15-12","Tačan rezultat","12:15"
"darts|two-participant-event|correct-score|H16-12","Tačan rezultat","16:12"
"darts|two-participant-event|correct-score|A16-12","Tačan rezultat","12:16"
"darts|two-participant-event|correct-score|H17-12","Tačan rezultat","17:12"
"darts|two-participant-event|correct-score|A17-12","Tačan rezultat","12:17"
"darts|two-participant-event|correct-score|H18-12","Tačan rezultat","18:12"
"darts|two-participant-event|correct-score|A18-12","Tačan rezultat","12:18"
"darts|two-participant-event|correct-score|A13-0","Tačan rezultat","0:13"
"darts|two-participant-event|correct-score|H13-0","Tačan rezultat","13:0"
"darts|two-participant-event|correct-score|A13-1","Tačan rezultat","1:13"
"darts|two-participant-event|correct-score|H13-1","Tačan rezultat","13:1"
"darts|two-participant-event|correct-score|A13-2","Tačan rezultat","2:13"
"darts|two-participant-event|correct-score|H13-2","Tačan rezultat","13:2"
"darts|two-participant-event|correct-score|A13-3","Tačan rezultat","3:13"
"darts|two-participant-event|correct-score|H13-3","Tačan rezultat","13:3"
"darts|two-participant-event|correct-score|A13-4","Tačan rezultat","4:13"
"darts|two-participant-event|correct-score|H13-4","Tačan rezultat","13:4"
"darts|two-participant-event|correct-score|A13-5","Tačan rezultat","5:13"
"darts|two-participant-event|correct-score|H13-5","Tačan rezultat","13:5"
"darts|two-participant-event|correct-score|A13-6","Tačan rezultat","6:13"
"darts|two-participant-event|correct-score|H13-6","Tačan rezultat","13:6"
"darts|two-participant-event|correct-score|A13-7","Tačan rezultat","7:13"
"darts|two-participant-event|correct-score|H13-7","Tačan rezultat","13:7"
"darts|two-participant-event|correct-score|A13-8","Tačan rezultat","8:13"
"darts|two-participant-event|correct-score|H13-8","Tačan rezultat","13:8"
"darts|two-participant-event|correct-score|A13-9","Tačan rezultat","9:13"
"darts|two-participant-event|correct-score|H13-9","Tačan rezultat","13:9"
"darts|two-participant-event|correct-score|A13-10","Tačan rezultat","10:13"
"darts|two-participant-event|correct-score|H13-10","Tačan rezultat","13:10"
"darts|two-participant-event|correct-score|A13-11","Tačan rezultat","11:13"
"darts|two-participant-event|correct-score|H13-11","Tačan rezultat","13:11"
"darts|two-participant-event|correct-score|A13-12","Tačan rezultat","12:13"
"darts|two-participant-event|correct-score|H13-12","Tačan rezultat","13:12"
"darts|two-participant-event|correct-score|H14-13","Tačan rezultat","14:13"
"darts|two-participant-event|correct-score|A14-13","Tačan rezultat","13:14"
"darts|two-participant-event|correct-score|H15-13","Tačan rezultat","15:13"
"darts|two-participant-event|correct-score|A15-13","Tačan rezultat","13:15"
"darts|two-participant-event|correct-score|H16-13","Tačan rezultat","16:13"
"darts|two-participant-event|correct-score|A16-13","Tačan rezultat","13:16"
"darts|two-participant-event|correct-score|H17-13","Tačan rezultat","17:13"
"darts|two-participant-event|correct-score|A17-13","Tačan rezultat","13:17"
"darts|two-participant-event|correct-score|H18-13","Tačan rezultat","18:13"
"darts|two-participant-event|correct-score|A18-13","Tačan rezultat","13:18"
"darts|two-participant-event|correct-score|A14-0","Tačan rezultat","0:14"
"darts|two-participant-event|correct-score|H14-0","Tačan rezultat","14:0"
"darts|two-participant-event|correct-score|A14-1","Tačan rezultat","1:14"
"darts|two-participant-event|correct-score|H14-1","Tačan rezultat","14:1"
"darts|two-participant-event|correct-score|A14-2","Tačan rezultat","2:14"
"darts|two-participant-event|correct-score|H14-2","Tačan rezultat","14:2"
"darts|two-participant-event|correct-score|A14-3","Tačan rezultat","3:14"
"darts|two-participant-event|correct-score|H14-3","Tačan rezultat","14:3"
"darts|two-participant-event|correct-score|A14-4","Tačan rezultat","4:14"
"darts|two-participant-event|correct-score|H14-4","Tačan rezultat","14:4"
"darts|two-participant-event|correct-score|A14-5","Tačan rezultat","5:14"
"darts|two-participant-event|correct-score|H14-5","Tačan rezultat","14:5"
"darts|two-participant-event|correct-score|A14-6","Tačan rezultat","6:14"
"darts|two-participant-event|correct-score|H14-6","Tačan rezultat","14:6"
"darts|two-participant-event|correct-score|A14-7","Tačan rezultat","7:14"
"darts|two-participant-event|correct-score|H14-7","Tačan rezultat","14:7"
"darts|two-participant-event|correct-score|A14-8","Tačan rezultat","8:14"
"darts|two-participant-event|correct-score|H14-8","Tačan rezultat","14:8"
"darts|two-participant-event|correct-score|A14-9","Tačan rezultat","9:14"
"darts|two-participant-event|correct-score|H14-9","Tačan rezultat","14:9"
"darts|two-participant-event|correct-score|A14-10","Tačan rezultat","10:14"
"darts|two-participant-event|correct-score|H14-10","Tačan rezultat","14:10"
"darts|two-participant-event|correct-score|A14-11","Tačan rezultat","11:14"
"darts|two-participant-event|correct-score|H14-11","Tačan rezultat","14:11"
"darts|two-participant-event|correct-score|A14-12","Tačan rezultat","12:14"
"darts|two-participant-event|correct-score|H14-12","Tačan rezultat","14:12"
"darts|two-participant-event|correct-score|A14-13","Tačan rezultat","13:14"
"darts|two-participant-event|correct-score|H14-13","Tačan rezultat","14:13"
"darts|two-participant-event|correct-score|H15-14","Tačan rezultat","15:14"
"darts|two-participant-event|correct-score|A15-14","Tačan rezultat","14:15"
"darts|two-participant-event|correct-score|H16-14","Tačan rezultat","16:14"
"darts|two-participant-event|correct-score|A16-14","Tačan rezultat","14:16"
"darts|two-participant-event|correct-score|H17-14","Tačan rezultat","17:14"
"darts|two-participant-event|correct-score|A17-14","Tačan rezultat","14:17"
"darts|two-participant-event|correct-score|H18-14","Tačan rezultat","18:14"
"darts|two-participant-event|correct-score|A18-14","Tačan rezultat","14:18"
"darts|two-participant-event|correct-score|A15-0","Tačan rezultat","0:15"
"darts|two-participant-event|correct-score|H15-0","Tačan rezultat","15:0"
"darts|two-participant-event|correct-score|A15-1","Tačan rezultat","1:15"
"darts|two-participant-event|correct-score|H15-1","Tačan rezultat","15:1"
"darts|two-participant-event|correct-score|A15-2","Tačan rezultat","2:15"
"darts|two-participant-event|correct-score|H15-2","Tačan rezultat","15:2"
"darts|two-participant-event|correct-score|A15-3","Tačan rezultat","3:15"
"darts|two-participant-event|correct-score|H15-3","Tačan rezultat","15:3"
"darts|two-participant-event|correct-score|A15-4","Tačan rezultat","4:15"
"darts|two-participant-event|correct-score|H15-4","Tačan rezultat","15:4"
"darts|two-participant-event|correct-score|A15-5","Tačan rezultat","5:15"
"darts|two-participant-event|correct-score|H15-5","Tačan rezultat","15:5"
"darts|two-participant-event|correct-score|A15-6","Tačan rezultat","6:15"
"darts|two-participant-event|correct-score|H15-6","Tačan rezultat","15:6"
"darts|two-participant-event|correct-score|A15-7","Tačan rezultat","7:15"
"darts|two-participant-event|correct-score|H15-7","Tačan rezultat","15:7"
"darts|two-participant-event|correct-score|A15-8","Tačan rezultat","8:15"
"darts|two-participant-event|correct-score|H15-8","Tačan rezultat","15:8"
"darts|two-participant-event|correct-score|A15-9","Tačan rezultat","9:15"
"darts|two-participant-event|correct-score|H15-9","Tačan rezultat","15:9"
"darts|two-participant-event|correct-score|A15-10","Tačan rezultat","10:15"
"darts|two-participant-event|correct-score|H15-10","Tačan rezultat","15:10"
"darts|two-participant-event|correct-score|A15-11","Tačan rezultat","11:15"
"darts|two-participant-event|correct-score|H15-11","Tačan rezultat","15:11"
"darts|two-participant-event|correct-score|A15-12","Tačan rezultat","12:15"
"darts|two-participant-event|correct-score|H15-12","Tačan rezultat","15:12"
"darts|two-participant-event|correct-score|A15-13","Tačan rezultat","13:15"
"darts|two-participant-event|correct-score|H15-13","Tačan rezultat","15:13"
"darts|two-participant-event|correct-score|A15-14","Tačan rezultat","14:15"
"darts|two-participant-event|correct-score|H15-14","Tačan rezultat","15:14"
"darts|two-participant-event|correct-score|H16-15","Tačan rezultat","16:15"
"darts|two-participant-event|correct-score|A16-15","Tačan rezultat","15:16"
"darts|two-participant-event|correct-score|H17-15","Tačan rezultat","17:15"
"darts|two-participant-event|correct-score|A17-15","Tačan rezultat","15:17"
"darts|two-participant-event|correct-score|H18-15","Tačan rezultat","18:15"
"darts|two-participant-event|correct-score|A18-15","Tačan rezultat","15:18"
"darts|two-participant-event|correct-score|A16-0","Tačan rezultat","0:16"
"darts|two-participant-event|correct-score|H16-0","Tačan rezultat","16:0"
"darts|two-participant-event|correct-score|A16-1","Tačan rezultat","1:16"
"darts|two-participant-event|correct-score|H16-1","Tačan rezultat","16:1"
"darts|two-participant-event|correct-score|A16-2","Tačan rezultat","2:16"
"darts|two-participant-event|correct-score|H16-2","Tačan rezultat","16:2"
"darts|two-participant-event|correct-score|A16-3","Tačan rezultat","3:16"
"darts|two-participant-event|correct-score|H16-3","Tačan rezultat","16:3"
"darts|two-participant-event|correct-score|A16-4","Tačan rezultat","4:16"
"darts|two-participant-event|correct-score|H16-4","Tačan rezultat","16:4"
"darts|two-participant-event|correct-score|A16-5","Tačan rezultat","5:16"
"darts|two-participant-event|correct-score|H16-5","Tačan rezultat","16:5"
"darts|two-participant-event|correct-score|A16-6","Tačan rezultat","6:16"
"darts|two-participant-event|correct-score|H16-6","Tačan rezultat","16:6"
"darts|two-participant-event|correct-score|A16-7","Tačan rezultat","7:16"
"darts|two-participant-event|correct-score|H16-7","Tačan rezultat","16:7"
"darts|two-participant-event|correct-score|A16-8","Tačan rezultat","8:16"
"darts|two-participant-event|correct-score|H16-8","Tačan rezultat","16:8"
"darts|two-participant-event|correct-score|A16-9","Tačan rezultat","9:16"
"darts|two-participant-event|correct-score|H16-9","Tačan rezultat","16:9"
"darts|two-participant-event|correct-score|A16-10","Tačan rezultat","10:16"
"darts|two-participant-event|correct-score|H16-10","Tačan rezultat","16:10"
"darts|two-participant-event|correct-score|A16-11","Tačan rezultat","11:16"
"darts|two-participant-event|correct-score|H16-11","Tačan rezultat","16:11"
"darts|two-participant-event|correct-score|A16-12","Tačan rezultat","12:16"
"darts|two-participant-event|correct-score|H16-12","Tačan rezultat","16:12"
"darts|two-participant-event|correct-score|A16-13","Tačan rezultat","13:16"
"darts|two-participant-event|correct-score|H16-13","Tačan rezultat","16:13"
"darts|two-participant-event|correct-score|A16-14","Tačan rezultat","14:16"
"darts|two-participant-event|correct-score|H16-14","Tačan rezultat","16:14"
"darts|two-participant-event|correct-score|A16-15","Tačan rezultat","15:16"
"darts|two-participant-event|correct-score|H16-15","Tačan rezultat","16:15"
"darts|two-participant-event|correct-score|H17-16","Tačan rezultat","17:16"
"darts|two-participant-event|correct-score|A17-16","Tačan rezultat","16:17"
"darts|two-participant-event|correct-score|H18-16","Tačan rezultat","18:16"
"darts|two-participant-event|correct-score|A18-16","Tačan rezultat","16:18"
"darts|two-participant-event|correct-score|A17-0","Tačan rezultat","0:17"
"darts|two-participant-event|correct-score|H17-0","Tačan rezultat","17:0"
"darts|two-participant-event|correct-score|A17-1","Tačan rezultat","1:17"
"darts|two-participant-event|correct-score|H17-1","Tačan rezultat","17:1"
"darts|two-participant-event|correct-score|A17-2","Tačan rezultat","2:17"
"darts|two-participant-event|correct-score|H17-2","Tačan rezultat","17:2"
"darts|two-participant-event|correct-score|A17-3","Tačan rezultat","3:17"
"darts|two-participant-event|correct-score|H17-3","Tačan rezultat","17:3"
"darts|two-participant-event|correct-score|A17-4","Tačan rezultat","4:17"
"darts|two-participant-event|correct-score|H17-4","Tačan rezultat","17:4"
"darts|two-participant-event|correct-score|A17-5","Tačan rezultat","5:17"
"darts|two-participant-event|correct-score|H17-5","Tačan rezultat","17:5"
"darts|two-participant-event|correct-score|A17-6","Tačan rezultat","6:17"
"darts|two-participant-event|correct-score|H17-6","Tačan rezultat","17:6"
"darts|two-participant-event|correct-score|A17-7","Tačan rezultat","7:17"
"darts|two-participant-event|correct-score|H17-7","Tačan rezultat","17:7"
"darts|two-participant-event|correct-score|A17-8","Tačan rezultat","8:17"
"darts|two-participant-event|correct-score|H17-8","Tačan rezultat","17:8"
"darts|two-participant-event|correct-score|A17-9","Tačan rezultat","9:17"
"darts|two-participant-event|correct-score|H17-9","Tačan rezultat","17:9"
"darts|two-participant-event|correct-score|A17-10","Tačan rezultat","10:17"
"darts|two-participant-event|correct-score|H17-10","Tačan rezultat","17:10"
"darts|two-participant-event|correct-score|A17-11","Tačan rezultat","11:17"
"darts|two-participant-event|correct-score|H17-11","Tačan rezultat","17:11"
"darts|two-participant-event|correct-score|A17-12","Tačan rezultat","12:17"
"darts|two-participant-event|correct-score|H17-12","Tačan rezultat","17:12"
"darts|two-participant-event|correct-score|A17-13","Tačan rezultat","13:17"
"darts|two-participant-event|correct-score|H17-13","Tačan rezultat","17:13"
"darts|two-participant-event|correct-score|A17-14","Tačan rezultat","14:17"
"darts|two-participant-event|correct-score|H17-14","Tačan rezultat","17:14"
"darts|two-participant-event|correct-score|A17-15","Tačan rezultat","15:17"
"darts|two-participant-event|correct-score|H17-15","Tačan rezultat","17:15"
"darts|two-participant-event|correct-score|A17-16","Tačan rezultat","16:17"
"darts|two-participant-event|correct-score|H17-16","Tačan rezultat","17:16"
"darts|two-participant-event|correct-score|H18-17","Tačan rezultat","18:17"
"darts|two-participant-event|correct-score|A18-17","Tačan rezultat","17:18"
"darts|two-participant-event|correct-score|A18-0","Tačan rezultat","0:18"
